time,ref,tau,err,theta_m,dtheta_m,ddtheta_m,tau_s,tau_m
0.115,0,-0.00364390438221162,0.00364390438221162,0.00563544384540989,0.124675670669837,1.47110035430573,-0.00364390438221162,0.0320679427688966
0.116,0,-0.00364195708948134,0.00364195708948134,0.00576090491474571,0.126141947887465,1.4662772176276,-0.00364195708948134,0.0320772623263874
0.117,0,-0.00364281316599544,0.00364281316599544,0.00588783118700246,0.127604856046433,1.46290815896788,-0.00364281316599544,0.0321152954694168
0.118,0,-0.00364673190487424,0.00364673190487424,0.00601622008359562,0.129065978229216,1.46112218278332,-0.00364673190487424,0.0321826928965966
0.119,0,-0.00365380232068722,0.00365380232068722,0.00614607063040429,0.130526938943746,1.46096071453036,-0.00365380232068722,0.0322785329092439
0.12,0,-0.00366394351512186,0.00366394351512186,0.00627738345561311,0.131989316958819,1.46237801507281,-0.00366394351512186,0.0324004118304442
0.121,0,-0.0036769135211623,0.0036769135211623,0.00641016070273296,0.133454562897013,1.465245938194,-0.0036769135211623,0.0325446059736978
0.122,0,-0.00369232595050601,0.00369232595050601,0.00654440586555383,0.134923925570966,1.46936267395281,-0.00369232595050601,0.0327062950978929
0.123,0,-0.00370967339753808,0.00370967339753808,0.00668012355549715,0.136398390502224,1.47446493125838,-0.00370967339753808,0.0328798344892607
0.124,0,-0.00372835624430426,0.00372835624430426,0.00681731921492368,0.137878633358418,1.48024285619347,-0.00372835624430426,0.0330590607345161
0.125,0,-0.00374771527829497,0.00374771527829497,0.00695599879227937,0.139364990223662,1.48635686524417,-0.00374771527829497,0.0332376149765829
0.126,0,-0.00376706638799493,0.00376706638799493,0.00709616839643008,0.140857445723142,1.49245549947993,-0.00376706638799493,0.033409267016524
0.127,0,-0.00378573554506052,0.00378573554506052,0.00723783394809722,0.14235563910244,1.49819337929838,-0.00378573554506052,0.0335682240409044
0.128,0,-0.00380309231693705,0.00380309231693705,0.00738100084595644,0.143858887462097,1.50324835965651,-0.00380309231693705,0.0337094089683177
0.129,0,-0.00381858027551779,0.00381858027551779,0.00752567366374403,0.145366224512519,1.50733705042213,-0.00381858027551779,0.0338286953405372
0.13,0,-0.0038317428675206,0.0038317428675206,0.00767185589271465,0.146876452483717,1.51022797119771,-0.0038317428675206,0.0339230882146185
0.131,0,-0.00384224357857371,0.00384224357857371,0.00781954974113102,0.148388204231976,1.51175174825943,-0.00384224357857371,0.0339908435020902
0.132,0,-0.00384987954030174,0.00384987954030174,0.00796875599929305,0.149900012157408,1.51180792543215,-0.00384987954030174,0.0340315214846165
0.133,0,-0.00385458808083022,0.00385458808083022,0.00811947397510271,0.151410380299093,1.5103681416842,-0.00385458808083022,0.0340459736433212
0.134,0,-0.00385644608555166,0.00385644608555166,0.00827170150149673,0.152917855915734,1.5074756166413,-0.00385644608555166,0.034036265295467
0.135,0,-0.00385566239797051,0.00385566239797051,0.00842543501344932,0.15442109698709,1.50324107135649,-0.00385566239797051,0.0340055396714255
0.136,0,-0.0038525638319813,0.0038525638319813,0.00858066968883185,0.155918932373398,1.4978353863074,-0.0038525638319813,0.0339578318370754
0.137,0,-0.00384757567048373,0.00384757567048373,0.00873739964438088,0.157410411826775,1.49147945337746,-0.00384757567048373,0.0338978431416275
0.138,0,-0.00384119777673483,0.00384119777673483,0.00889561817551093,0.158894843632997,1.48443180622151,-0.00384119777673483,0.0338306885501843
0.139,0,-0.00383397763310273,0.00383397763310273,0.00905531802682593,0.160371818341383,1.47697470838603,-0.00383397763310273,0.0337616302352142
0.14,0,-0.00382648173927278,0.00382648173927278,0.00921649167900895,0.161841217778309,1.46939943692612,-0.00382648173927278,0.0336958111198718
0.141,0,-0.00381926684454442,0.00381926684454442,0.00937913163734463,0.163303209297479,1.46199151917003,-0.00381926684454442,0.0336380016918129
0.142,0,-0.00381285245656809,0.00381285245656809,0.00954323070745085,0.164758225959259,1.45501666178052,-0.00381285245656809,0.0335923723763087
0.143,0,-0.00380769596538631,0.00380769596538631,0.00970878224483169,0.166206934015576,1.44870805631614,-0.00380769596538631,0.0335623021419209
0.144,0,-0.00380417155409866,0.00380417155409866,0.00987578036653869,0.167650189673451,1.44325565787542,-0.00380417155409866,0.0335502319075677
0.145,0,-0.00380255384598294,0.00380255384598294,0.0100442201154426,0.169088987591835,1.43879791838387,-0.00380255384598294,0.0335575688447665
0.146,0,-0.00380300697506199,0.00380300697506199,0.010214097570246,0.170524403911981,1.43541632014582,-0.00380300697506199,0.0335846449577941
0.147,0,-0.00380557947712804,0.00380557947712804,0.0103854098972673,0.171957536817817,1.43313290583608,-0.00380557947712804,0.0336307305182151
0.148,0,-0.00381020509644635,0.00381020509644635,0.0105581553430434,0.173389447663741,1.43191084592406,-0.00381020509644635,0.0336941001736585
0.149,0,-0.0038167093050533,0.0038167093050533,0.0107323331697844,0.174821105595375,1.43165793163408,-0.0038167093050533,0.0337721469771687
0.15,0,-0.00382482105167822,0.00382482105167822,0.0109079435385071,0.176253338333734,1.43223273835896,-0.00382482105167822,0.0338615373202809
0.151,0,-0.00383418900921795,0.00383418900921795,0.0110849873471614,0.177686791411786,1.43345307805179,-0.00383418900921795,0.033958397900899
0.152,0,-0.0038444013850036,0.0038444013850036,0.0112634660331064,0.179121897666959,1.43510625517301,-0.0038444013850036,0.0340585245008554
0.153,0,-0.0038550082057635,0.0038550082057635,0.0114433813508165,0.18055885823099,1.43696056403175,-0.0038550082057635,0.0341576015385945
0.154,0,-0.00386554489547088,0.00386554489547088,0.0116247351366382,0.181997635649734,1.43877741874393,-0.00386554489547088,0.0342514211283291
0.155,0,-0.00387555593215332,0.00387555593215332,0.0118075290727351,0.183437959141941,1.44032349220624,-0.00387555593215332,0.0343360907111761
0.156,0,-0.00388461739919809,0.00388461739919809,0.011991764462067,0.184879341399104,1.44138225716364,-0.00388461739919809,0.0344082191959687
0.157,0,-0.00389235733454663,0.00389235733454663,0.0121774420253694,0.186321105768143,1.44176436903839,-0.00389235733454663,0.0344650728986988
0.158,0,-0.00389847292137976,0.00389847292137976,0.0123645617296983,0.187762422171654,1.44131640351111,-0.00389847292137976,0.0345046943179799
0.159,0,-0.00390274374809183,0.00390274374809183,0.0125531226562611,0.189202349729091,1.43992755743694,-0.00390274374809183,0.0345259788336353
0.16,0,-0.00390504058303091,0.00390504058303091,0.0127431229130808,0.190639883763368,1.43753403427701,-0.00390504058303091,0.0345287066530049
0.161,0,-0.00390532934891174,0.00390532934891174,0.0129345595956439,0.192074004721957,1.43412095858941,-0.00390532934891174,0.0345135296401303
0.162,0,-0.00390367023039035,0.00390367023039035,0.0131274287961973,0.193503726513867,1.42972179190989,-0.00390367023039035,0.0344819149278621
0.163,0,-0.00390021209334818,0.00390021209334818,0.0133217256599098,0.194928141861857,1.42441534798951,-0.00390021209334818,0.0344360493204013
0.164,0,-0.00389518262382937,0.00389518262382937,0.0135174444838182,0.196346462484487,1.41832062263081,-0.00389518262382937,0.0343787103431481
